date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,roc,sma,ema,rsi,obv,MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,adx,cci,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,ad,shifted_ROC_BOOL
2000-02-24,41.5,42.94,40.69,42.56,21.28,2045700.0,0.0,1.0,3.6532,21.143,21.1416,54.2267,97876000.0,-0.1575,0.9819,1.1394,43.0608,41.6288,37.3918,7.087,60.0,0.0,20.3914,21.143,21.8946,116233147.085,0
2000-02-25,41.56,42.38,39.25,40.5,20.25,5455700.0,0.0,1.0,-4.8402,20.893,20.8444,35.7848,86964600.0,-0.2303,0.8515,1.0818,39.5042,40.7965,35.538,-111.3537,100.0,0.0,19.9706,20.893,21.8154,114036922.8038,0
2000-02-28,40.31,40.31,37.63,37.75,18.875,4423500.0,0.0,1.0,-6.7901,20.368,20.1879,22.8292,78117600.0,-0.3614,0.63,0.9915,31.6844,38.0831,38.4243,-160.4406,100.0,0.0,18.7213,20.368,22.0147,105982191.4605,1
2000-02-29,39.38,40.25,39.0,39.5,19.75,4151600.0,0.0,1.0,4.6358,20.137,20.042,40.0842,86420800.0,-0.3779,0.5191,0.897,22.0051,31.0646,40.7333,-52.566,80.0,40.0,18.533,20.137,21.741,104321551.4605,1
2000-03-01,39.88,41.38,39.69,40.5,20.25,3276100.0,0.0,1.0,2.5316,20.081,20.1113,48.3356,92973000.0,-0.3447,0.4661,0.8108,30.5085,28.066,35.117,16.0907,60.0,20.0,18.5167,20.081,21.6453,104050158.5611,0
2000-03-02,40.44,40.44,38.5,39.25,19.625,2270300.0,0.0,1.0,-3.0864,19.75,19.9492,39.7764,88432400.0,-0.3531,0.3695,0.7225,41.1236,31.2124,34.9344,-34.7007,40.0,0.0,18.7376,19.75,20.7624,103020331.757,1
2000-03-03,39.75,42.0,39.75,41.5,20.75,3456500.0,0.0,1.0,5.7325,19.85,20.2161,56.9347,95345400.0,-0.2746,0.3793,0.6539,58.9042,43.5121,28.8345,107.3059,20.0,0.0,18.591,19.85,21.109,106860887.3126,1
2000-03-06,46.0,49.0,46.0,47.5,23.75,11229200.0,0.0,1.0,14.4578,20.825,21.3941,77.9118,117803800.0,-0.0255,0.622,0.6475,69.4593,56.4957,35.7582,166.6667,0.0,100.0,17.7935,20.825,23.8565,106860887.3126,1
2000-03-07,49.44,59.0,49.0,55.0,27.5,12862000.0,0.0,1.0,15.7895,22.375,23.4294,87.4577,143527800.0,0.3653,1.1042,0.7388,84.9201,71.0945,45.1306,128.1762,40.0,100.0,16.5184,22.375,28.2316,112005687.3126,0
2000-03-08,55.5,55.5,48.0,53.5,26.75,6733000.0,0.0,1.0,-2.7273,23.675,24.5363,78.9299,130061800.0,0.5366,1.4095,0.873,79.7909,78.0568,50.3815,67.3211,20.0,80.0,17.4108,23.675,29.9392,118289820.6459,1
2000-03-09,52.69,60.0,50.5,58.13,29.065,6706000.0,0.0,1.0,8.6542,25.563,26.0458,84.6898,143473800.0,0.7555,1.8174,1.0619,81.4747,82.0619,56.0535,82.1899,0.0,100.0,19.6383,25.563,31.4877,126421728.0143,0
2000-03-10,53.13,54.25,50.0,52.0,26.0,8425000.0,0.0,1.0,-10.5453,26.613,26.0306,58.3095,126623800.0,0.6479,1.8717,1.2238,68.9311,76.7322,59.3586,-12.2517,0.0,80.0,23.1041,26.613,30.1219,125430551.5437,0
2000-03-13,48.31,53.25,48.25,51.5,25.75,3867900.0,0.0,1.0,-0.9615,27.013,25.937,56.5146,118888000.0,0.5194,1.873,1.3537,54.2631,68.2229,57.4789,-87.8346,0.0,60.0,24.6233,27.013,29.4027,127751291.5437,0
2000-03-14,52.0,53.75,48.0,48.0,24.0,2968100.0,0.0,1.0,-6.7961,26.313,25.2914,44.5229,112951800.0,0.2875,1.7131,1.4256,24.0079,49.0674,56.4227,-101.5453,100.0,40.0,23.0231,26.313,29.6029,121815091.5437,1
2000-03-15,49.0,50.44,47.5,49.25,24.625,4188100.0,0.0,1.0,2.6042,25.888,25.0692,49.3233,121328000.0,0.1541,1.6181,1.4641,14.3889,30.8866,53.9664,-86.6551,100.0,20.0,22.3912,25.888,29.3848,123410558.2104,0
2000-03-16,49.63,50.0,46.31,49.19,24.595,3210500.0,0.0,1.0,-0.1218,24.994,24.9112,49.0686,114907000.0,0.0471,1.5229,1.4758,16.7573,18.3847,48.079,-94.044,100.0,0.0,23.4795,24.994,26.5085,127012582.6006,1
2000-03-17,48.81,50.69,48.13,50.0,25.0,2640100.0,0.0,1.0,1.6467,24.794,24.9408,53.1518,120187200.0,-0.0101,1.4632,1.4733,33.2896,21.4786,44.724,-1.0569,80.0,0.0,23.6434,24.794,25.9446,129446424.7881,1
2000-03-20,50.94,54.13,50.75,53.75,26.875,3684600.0,0.0,1.0,7.5,25.019,25.5855,67.9989,127556400.0,0.0609,1.5494,1.4885,60.3365,36.7945,46.9685,166.6667,60.0,100.0,23.0556,25.019,26.9824,135158644.9065,1
2000-03-21,54.13,55.75,52.63,54.81,27.405,4724000.0,0.0,1.0,1.9721,25.7,26.192,71.2215,137004400.0,0.1224,1.6415,1.5191,78.2599,57.2953,50.3002,106.3804,40.0,100.0,23.3076,25.7,28.0924,138913619.2655,1
2000-03-22,55.5,58.88,55.25,57.5,28.75,4788600.0,0.0,1.0,4.9079,26.525,27.0447,78.1889,146581600.0,0.2265,1.8023,1.5758,91.4015,76.666,55.1211,112.8536,20.0,100.0,23.4398,26.525,29.6102,141208981.2489,0
2000-03-23,56.56,58.0,52.5,55.38,27.69,2839900.0,0.0,1.0,-3.687,27.144,27.2598,63.1317,140901800.0,0.1979,1.8231,1.6252,82.1686,83.9433,50.4139,44.8029,0.0,80.0,24.6759,27.144,29.6121,141477480.8853,0
2000-03-24,53.5,56.88,53.19,54.0,27.0,3305000.0,0.0,1.0,-2.4919,27.544,27.1732,54.5794,134291800.0,0.1107,1.7637,1.6529,65.4796,79.6832,46.6481,-12.4744,0.0,60.0,26.2058,27.544,28.8822,137769432.1048,1
2000-03-27,54.0,55.94,53.81,54.19,27.095,2226700.0,0.0,1.0,0.3519,27.588,27.1471,55.6143,138745200.0,0.0413,1.7045,1.6632,44.6354,64.0945,43.6354,-49.8396,0.0,40.0,26.3285,27.588,28.8475,134905038.6776,1
2000-03-28,54.25,56.88,53.5,55.13,27.565,2664700.0,0.0,1.0,1.7346,27.62,27.2864,61.0957,144074600.0,0.0104,1.6763,1.6658,35.8957,48.6702,43.1523,-21.3864,40.0,20.0,26.3727,27.62,28.8673,134715829.2101,0
2000-03-29,56.0,56.25,51.88,54.75,27.375,3826700.0,0.0,1.0,-0.6893,27.345,27.3159,57.507,136421200.0,-0.0368,1.6199,1.6567,38.2023,39.5778,36.1915,-105.9995,100.0,0.0,26.816,27.345,27.874,137115178.8669,1
2000-03-30,52.88,60.0,52.75,60.0,30.0,7821900.0,0.0,1.0,9.589,27.807,28.2106,78.9054,152065000.0,0.088,1.7666,1.6787,62.706,45.6013,38.0,166.6667,80.0,100.0,25.5776,27.807,30.0364,152758978.8669,0
